"GPA","Number_Of_Professional_Connections","Major","Graduation_Year","Height","Number_Of_Credits","Number_Of_Parking_Tickets","HP","GC","predEarnings"
3.73,9,"STEM",2001,65.01,120,0,585.09,240120,9643.02777093255
3.25,23,"STEM",2011,68.65,122,0,1578.95,245342,9681.7822703462
2.32,22,"STEM",1989,69.52,120,1,1529.44,238680,9767.45816654134
3.39,11,"STEM",1967,68.49,120,0,753.39,236040,9671.0096893728
2.37,8,"STEM",2008,68.61,122,2,548.88,244976,9761.1700852789
2.81,106,"STEM",1995,68.17,122,0,7226.02,243390,9741.97248095237
2.49,15,"STEM",2009,67.16,126,4,1007.4,253134,9751.55550714286
2.44,11,"STEM",2015,71.45,125,2,785.95,251875,9755.7271
2.99,7,"STEM",1965,69.19,122,0,484.33,239730,9706.07549584222
2.95,16,"STEM",2000,69.83,123,2,1117.28,246000,9704.47570000003
2.17,6,"STEM",1980,70.16,123,1,420.96,243540,9777.56471654135
2.55,0,"STEM",1993,70.44,122,5,0,243146,9741.87046480273
2.29,11,"STEM",1987,66.88,121,1,735.68,240427,9771.33097238094
1.8,22,"STEM",1974,72.62,120,1,1597.64,236880,9810.28582142857
2.02,6,"STEM",1989,69.2,122,1,415.2,242658,9796.74740872502
2.3,19,"STEM",1990,67.31,123,2,1278.89,244770,9765.98265714287
2.71,5,"STEM",1963,65.61,120,3,328.05,235560,9730.45679615384
2.95,11,"STEM",1962,64.69,121,1,711.59,237402,9711.17901539116
2.6,4,"STEM",1997,67.33,120,0,269.32,239640,9740.87466439909
2.14,29,"STEM",1962,71.33,121,0,2068.57,237402,9783.58505357139
2.41,10,"STEM",1965,68.62,125,3,686.2,245625,9758.28569999999
3.09,61,"STEM",1962,72.15,120,0,4401.15,235440,9706.73924651568
2.72,1,"STEM",1971,68.96,122,0,68.96,240462,9729.90073575509
2,105,"STEM",1975,65.05,123,1,6830.25,242925,9808.68249285716
2.4,15,"STEM",1985,68.49,120,1,1027.35,238200,9758.91852796992
2.89,4,"STEM",2004,69.17,120,2,276.68,240480,9712.75336214285
2.14,35,"STEM",2005,68.82,121,0,2408.7,242605,9786.89774950398
2.44,3,"STEM",1980,65.71,121,1,197.13,239580,9753.87843678569
1.67,11,"STEM",1961,69.92,123,3,769.12,241203,9821.00303809523
2.44,8,"STEM",1984,65.82,121,0,526.56,240064,9756.88553792515
3.04,80,"STEM",1988,69.71,120,0,5576.8,238560,9706.75149508708
2.53,3,"STEM",1993,66.34,123,1,199.02,245139,9746.81088214286
2.51,44,"STEM",1981,65.28,124,1,2872.32,245644,9745.82731285719
2.93,8,"STEM",1976,66.73,121,1,533.84,239096,9708.52638801023
3.01,6,"STEM",1969,67.87,126,0,407.22,248094,9705.53871428569
2.83,19,"STEM",2015,67.17,120,1,1276.23,241800,9719.20803190476
2.47,54,"STEM",1967,64.58,120,1,3487.32,236040,9748.64726472529
2.78,24,"STEM",1985,67.18,121,1,1612.32,240185,9722.16306935942
2.39,41,"STEM",1979,66.48,122,0,2725.68,241438,9762.93116527893
2.7,22,"STEM",1973,71.47,120,0,1572.34,236760,9732.00095142863
2.05,40,"STEM",2012,68.85,122,0,2754,245464,9795.50396192574
3.33,9,"STEM",2006,64.88,120,0,583.92,240720,9669.2213423611
1.84,9,"STEM",2011,71.59,123,3,644.31,247353,9808.48717499996
2.61,34,"STEM",1999,67.76,123,0,2303.84,245877,9738.55500505954
1.91,6,"STEM",2004,67.11,121,2,402.66,242484,9804.95362142857
1.56,1,"STEM",1971,65.51,123,1,65.51,242433,9831.95839285714
2.43,0,"STEM",2006,66.14,121,1,0,242726,9755.33917797618
2.48,18,"STEM",2007,69.24,121,2,1246.32,242847,9753.26719761903
2.82,9,"STEM",2014,70.92,120,1,638.28,241680,9721.61739761907
3.01,13,"STEM",1992,67.76,122,0,880.88,243024,9702.13887798507
1.72,2,"STEM",1973,68.3,122,1,136.6,240706,9821.88816718367
3.02,16,"STEM",1964,67.94,120,2,1087.04,235680,9705.08260714286
1.91,6,"STEM",1979,65.83,121,0,394.98,239459,9808.5003714286
1.8,32,"STEM",2007,67.47,125,0,2159.04,250875,9818.43076021824
2.74,15,"STEM",1996,67.37,122,0,1010.55,243512,9726.98270765984
2.96,27,"STEM",1980,68.37,122,4,1845.99,241560,9704.86122194562
2.02,8,"STEM",1972,66.78,121,1,534.24,238612,9794.66337380954
2.11,4,"STEM",2014,68.06,121,2,272.24,243694,9785.74899285714
2.98,2,"STEM",1974,67.85,128,0,135.7,252672,9708.07704047619
2.19,0,"STEM",1998,65.48,121,1,0,241758,9774.81488630952
2.44,33,"STEM",2015,66.59,125,1,2197.47,251875,9755.01665999999
2.53,36,"STEM",1978,66.08,124,1,2378.88,245272,9746.05602428575
2.42,1,"STEM",1994,67.4,121,0,67.4,241274,9758.05563952379
2.26,11,"STEM",1990,66.09,123,1,726.99,244770,9772.62894285716
2.95,14,"STEM",2014,64.59,121,0,904.26,243694,9707.05515854594
3.35,5,"STEM",2000,67.55,122,1,337.75,244000,9670.43438861224
2.26,6,"STEM",1990,72.44,121,1,434.64,240790,9771.55448809523
2.1,30,"STEM",1981,70.69,123,3,2120.7,243663,9790.49768571428
3.07,29,"STEM",2014,69.46,121,1,2014.34,243694,9697.4666987245
